[01,01], {04500}, BELGIAN FIREARMS
[01,02], {04000}, AMERICAN FIREARMS
[01,03], {04500}, GERMAN FIREARMS
[01,04], {04250}, BRITISH FIREARMS
[01,05], {05000}, ACTUALLY JUST A BOMB
[01,06], {04750}, STEEL BEAMS
[01,07], {04500}, BELGIAN FIREARMS
[01,08], {04000}, AMERICAN FIREARMS
[01,09], {04500}, GERMAN FIREARMS
[01,10], {04250}, BRITISH FIREARMS
[01,11], {05000}, ACTUALLY JUST A BOMB
[01,12], {04750}, STEEL BEAMS
[02,01], {04500}, BELGIAN FIREARMS
[02,02], {04000}, AMERICAN FIREARMS
[02,03], {04500}, GERMAN FIREARMS
[02,04], {04250}, BRITISH FIREARMS
[02,05], {05000}, ACTUALLY JUST A BOMB
[02,06], {04750}, STEEL BEAMS
[02,07], {04500}, BELGIAN FIREARMS
[02,08], {04000}, AMERICAN FIREARMS
[02,09], {04500}, GERMAN FIREARMS
[02,10], {04250}, BRITISH FIREARMS
[02,11], {05000}, ACTUALLY JUST A BOMB
[02,12], {04750}, STEEL BEAMS
[03,01], {04500}, BELGIAN FIREARMS
[03,02], {04000}, AMERICAN FIREARMS
[03,03], {04500}, GERMAN FIREARMS
[03,04], {04250}, BRITISH FIREARMS
[03,05], {05000}, ACTUALLY JUST A BOMB
[03,06], {04750}, STEEL BEAMS
[03,07], {00000}, UNUSED
[03,08], {00000}, UNUSED
[03,09], {00000}, UNUSED
[03,10], {00000}, UNUSED
[03,11], {00000}, UNUSED
[03,12], {00000}, UNUSED
[04,01], {04500}, BELGIAN FIREARMS
[04,02], {04000}, AMERICAN FIREARMS
[04,03], {04500}, GERMAN FIREARMS
[04,04], {04250}, BRITISH FIREARMS
[04,05], {05000}, ACTUALLY JUST A BOMB
[04,06], {04750}, STEEL BEAMS
[04,07], {00000}, UNUSED
[04,08], {00000}, UNUSED
[04,09], {00000}, UNUSED
[04,10], {00000}, UNUSED
[04,11], {00000}, UNUSED
[04,12], {00000}, UNUSED
[05,01], {00000}, UNUSED
[05,02], {00000}, UNUSED
[05,03], {00000}, UNUSED
[05,04], {00000}, UNUSED
[05,05], {00000}, UNUSED
[05,06], {00000}, UNUSED
[05,07], {00000}, UNUSED
[05,08], {00000}, UNUSED
[05,09], {00000}, UNUSED
[05,10], {00000}, UNUSED
[05,11], {00000}, UNUSED
[05,12], {00000}, UNUSED
[06,01], {00000}, UNUSED
[06,02], {00000}, UNUSED
[06,03], {00000}, UNUSED
[06,04], {00000}, UNUSED
[06,05], {00000}, UNUSED
[06,06], {00000}, UNUSED
[06,07], {00000}, UNUSED
[06,08], {00000}, UNUSED
[06,09], {00000}, UNUSED
[06,10], {00000}, UNUSED
[06,11], {00000}, UNUSED
[06,12], {00000}, UNUSED
[07,01], {00000}, UNUSED
[07,02], {00000}, UNUSED
[07,03], {00000}, UNUSED
[07,04], {00000}, UNUSED
[07,05], {00000}, UNUSED
[07,06], {00000}, UNUSED
[07,07], {00000}, UNUSED
[07,08], {00000}, UNUSED
[07,09], {00000}, UNUSED
[07,10], {00000}, UNUSED
[07,11], {00000}, UNUSED
[07,12], {00000}, UNUSED
[08,01], {00000}, UNUSED
[08,02], {00000}, UNUSED
[08,03], {00000}, UNUSED
[08,04], {00000}, UNUSED
[08,05], {00000}, UNUSED
[08,06], {00000}, UNUSED
[08,07], {00000}, UNUSED
[08,08], {00000}, UNUSED
[08,09], {00000}, UNUSED
[08,10], {00000}, UNUSED
[08,11], {00000}, UNUSED
[08,12], {00000}, UNUSED
